,Name,Address,Website,Contact,Email,VC,VC_Phone,REG,REG_Phone
104,Narsee Monjee Institute of Management Studies ,V.L.Mehta Road  Vile Parle (W) Mumbai-400056 Maharashtra    Maharashtra -  ,http://www.nmims.edu,022-42355555  ,"nmims@nmims.edu,enquiry@nmims.edu",Dr. Rajan Saxena,91-22-42355555,Dr. Meena Chintamaneni,022-42355555
105,Padmashree Dr.D.Y. Patil Vidyapeeeth,Vidyanagar  Nerul Navi Mumbai Pin-400 706    Maharashtra -  ,http://www.dypatil.ac.in,91 22 39285999  91 22 39286197,info@dypatil.com   dypuniversity_1@yahoo.co.in,Dr. James Thomas,022-27708215,Dr. F.A. Fernandes,022-39286202
106,Pravara Institute of Medical Sciences,"P.O. Loni,B.K-413736  Tal.  Rahata Dist; Ahmednagar (M S)    Maharashtra -  ",http://www.pravara.com/,91-2422-273600  91-2422-273413,pravara@bom3.vsnl.net.in  contact@pmtpims.org,Lt.M.G. Takwale,"02422-271211,",Mr. A.L.Bhosale,02422-271343
107,Symbiosis International University,Gram: Lavale  Tal: Mulshi District: Pune Maharashtra   Maharashtra - 412 115 ,http://www.siu.edu.in,020-39116200  020-39116206,registrar@siu.edu.in,Dr. Rajani Gupte,020-28116201,Dr. M. S. Shejul,020-39116205
108,Tata Institute of Fundamental Research,Homi Bhaba Road  Mumbai- 400 005    Maharashtra -  ,http://www.tifr.ac.in,91-22-22782000  ,,,,KAYARKAR JAYANT N,
109,Tata Institute of Social Sciences ,V.N.Purav Marg  Deonar Mumbai-400 088.    Maharashtra -  ,http://www.tiss.edu,  022-25525000,webmaster@tiss.edu,Prof.Shalini Bharat,022-25525201,Mr.M.P.Balamurugan,022-25525254
110,Tilak Maharashtra Vidyapeeth,Vidyapeeth Bhavan  Mukundnagar Gultekdi  Pune-411037    Maharashtra -  ,http://www.tmv.edu.in,"020-24261856  24264699  24267888,24454866  91-020-24266068  24271695",,Dr. Deepak J. Tilak,"020-24269940,24403001,24261856,24264699",Dr. Umesh K Keskar,"020-24261856,24403002,24264699"
111,Kalinga Institute of Industrial Technology,Bhubneshwar Orissa-751 024    Orissa -  ,http://www.kiit.ac.in,  91 674 2725113,kiit@kiit.ac.in,Prof.Hrushikesha Mohanty,8114382201,Mr.Sudhir Sarpathy,8114382202   0674-2725481
112,Siksha 'O' Anusandhan,"J-15,Khandagiri Square Khandagiri,Bhumbneswar Orissa- 751 030   Orissa -  ",http://www.soauniversity.ac.in,91-674- 2350635  2350791  2350794  2350802  91 - 674 - 2350826,info@soauniversity.ac.in,Prof. Amit Banerjee ,0674-2350826,Prof.(Dr.) B.B.Pradhan,0674-2350635
113,Sant Longowal Institute of Engineering and Technology,Longowal District- Sangru  Punjab    Punjab -  ,http://www.sliet.ac.in,  ,sliet_webasters@yahoo.com,Dr. V. Sahni,"91-1672-305100,280057",Dr. S.S. Dhaliwal,
114,Thapar Institute of Engineering & Technology ,Thapar TEchnology Campus   Bhadson Road  Patiala   Punjab - 147004 ,http://www.thapar.edu.in,91-175-2393021  91-175-2364498  2393020,registrar@thapar.edu,Prof Prakash Gopalan,"0175-2393001,2393050",Dr Gurbinder Singh,8288008118
115,Sri Balaji Vidyapeeth (Deemed to be University),Pondy-Cuddalore Main Road Pillaiyarkuppam  Pondicherry  Union Territory of Pudducherry   Puducherry- 607402 ,http://www.sbvu.ac.in,0413-2615449 to 2615458  ,registrar@sbvu.ac.in,Prof. S.C.Parija,0413-2611802,Prof. A R Srinivasan,0413-2611805
116,Banasthai Vidyapith ,PO. Banasthali PIN - 304022. (RAJASTHAN)    Rajasthan-  ,http://www.banasthali.org,01438-228647  228323/653  228371  228340  01438-228365,"info@banasthali.ac.in  
ashastri@banasthali.ac.in",Prof Aditya Shastri,228787,Prof Chitra Purohit,228371
117,Birla Institute of Technology & Science,Vidya Vihar Pilani    Rajasthan- 333031 ,http://www.bits-pilani.ac.in,01596-255298  255310  ,samuel@pilani.bits-pilani.ac.in,Prof. Souvik Bhattacharyya,01596-242090  255247,Mr. Ernest Samuel Ratnakumar J,01596-242192
118,Institute of Advanced Studies in Education ,"Gandhi Vidya Mandir  Sardar Shahr   Churu,   Rajasthan- 331401 ",http://www.iaseuniversity.org.in,01564- 220025  223642  01564 - 223682(FAX),oncampus@iaseuniversity.org.in,Dr Dinesh Kumar,01564-221989,Mr Jitendra Pareek,01564-220025
119,IIS ,Gurukul Marg  Mansarovar  Jaipur Rajasthan   Rajasthan-  ,http://www.iisuniv.ac.in,91-141-2400160-61  2397906-07  91 - 2395494  2781158,icg@iisuniv.ac.in,Dr. Ashok Gupta,0141-2400160-161,Dr. Raakhi Gupta,0141-2400160-161
120,Jain Vishva Bharati Institute ,B.No.6  Ladnun-341 306. RAJASTHAN    Rajasthan-  ,http://jvbi.ac.in,"018581-222230,222110,224332  1581-223472",jvbiladnun@gmail.com,Prof.B.R.Dugar,01581-226116,Sh.Ramesh Kumar Mehta,01581-226230
121,Janardan Rai Nagar Rajasthan Vidyapeeth,Paatap Nagar  air Port Road Udaipur PIN - 313 001.(RAJASTHAN)    Rajasthan-  ,http://www.jrnrvu.org,"91 294 2429441,2493493,2492440  0294-2492400",info@jrnrvpu.org,Prof. S.S. Sarangdevot,"0294-2792440,5123063",Dr. Prakash Sharma,"0294-2491017,2491044"
122,The LNM Institute of Information Technology  jaipur,"Gram-Rupa ki Nangal  Post-Sumel,Via-Jamdoli  District:-Jaipur   Rajasthan- 302031 ",http://www.lnmiit.ac.in,0141-5191851/ 2688090  0141-2689014 (FAX),info.lnmiit@lnmiit.ac.in,prof. Rahul Banerjee,-5189263,Dr Renu Bapna,-5191756
123,Mody Institute of Education and Research ,Lakshmangarh  Dist. Sikar   Rajasthan    Rajasthan-  ,http://www.mitsuniversity.ac.in,(01573) 225001(12 Lines)  (01573) 225041 to 44,contact@mitsuniversity.ac.in,Prof. (Dr.) N.V. Subba Reddy,,Mr. M.K.Vajpayee,
124,Academy of Maritime Education and Training ,"135,East Coast Road,Kanathur Chennai- 603112    Tamil Nadu -  ",http://www.ametuniv.ac.in,91 - 44 - 27472155 / 27472904 / 27472905 / 2747215  91 - 44 - 27472804,amet@vsnl.com,Capt.S Bhardwaj,91 - 44 - 32472682 / 27472904 / 27472905,Mr. K. Seyadu,044 - 27472803 / 2747290
125,Amrita Vishwa Vidyapeetham,Coimbatore Tamil Nadu-641 105    Tamil Nadu -  ,http://www.amrita.edu,91-422-2685000  91-422-2656274,univhq@amrita.edu,,,,
126,Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore - 641 043.     Tamil Nadu -  ,http://www.avinashilingam.edu,0422-2443219  2451252  2441252  2211288  0422-2438786,avinuty.ac.in,Dr (Mrs) Sheela Ramachandran,0422-2314539,Dr (Mrs) Gowri Ramakrishna,0422-2451252
127,B.S. Abdur Rahman Institute of Science and Technology ,Seethakathi Estate G.S.T.Road  Vandalur  Chennai Tamilnadu-600 048   Tamil Nadu -  ,http://www.bsauniv.ac.in,91-44-22751347/348/350/362  91-44-22750520,bsar@bsauniv.ac.in,DR.P.KANNIAPPAN,044-22750005,DR.V.M.PERIASAMY,044-22750006
128,Bharath Institute of Higher Education & Research,"173,Aghar Road Selaiyur,Chennai 600073    Tamil Nadu -  ",http://www.bharathuniv.com,"91 - 44 - 2229 0742  2229 0125,2440 4699  2445 341  91 - 44 - 2229 3886",admission@bharathuniv.ac.in,Dr. V. Kanagasabai,044-22299003,Dr. S. Bhuminathan,044-42924292/  044-22416619
129,Chennai Mathematical Institute  ,"Plot No. D-19 & D-20 SIPCOAT IT Park Padur Post Siruseri,TamilNadu   Tamil Nadu -  ",http://www.cmi.ac.in,"91-44-2747 0226  ?  2747 0229,3298 3441  3298 3442  91-44-2747 0225",office at cmi dot ac dot in,Rajeeva L Karandikar,,S.Sripathy,
130,Chettinad Academy of Research and Education  (CARE),Rajiv Gandhi Salai Kelambakkkam Chennai-603103 Kanchipuram Distt. Tamil Nadu   Tamil Nadu -  ,http://www.chettinadhealthcity.com,91 (0)44 4741 1010  91 (0)44 4741 1011,mail@chettinadhealthcity.com,Dr. Raji.V,044-47413330,Mr. Spk. Chidambaram,044-47411010
131,The Gandhiigram Rural Institute,Dist - Dinigul     Tamil Nadu - 624302 ,http://www.ruraluniv.ac.in,2452371  2452375  0451-2453071,grucc@ruraluniv.ac.in,Dr. M. Sundaravadivelu,0451-2452305,Prof. V.P.R. Sivakumar,0451-2452323
132,Hindustan Institute of Technology  and Science (HITS),P.O.Bag No.:01  Rajiv Gandhi Salai  Padur  Kelambakkam  Chennai   Tamil Nadu - 603 103 ,http://www.hindustanuniv.ac.in,(044) – 27474262  (044) – 27474385,hindustan@hindustanuniv.ac.in,Dr. S.Ramachandran,(044) – 27474262/385/395,Dr. Pon. Ramalingam,044-27474262/385/395
133,Kalasalingam Academy of Research and Education,"Anand Nagar,Krishnankoil,Virudhuna Virudhunagar,Srivilliputtur Tamal Nadu   Tamil Nadu -  ",http://www.kalasalingam.ac.in,04563 - 289042/43/44  04563 - 289322,info@kalasalingam.ac.in,Dr. S. Radhakrishnan,04563-289042,Dr. T. Vasudevan,04563-289230
134,Karunya Institute of Technology and Sciences,Karunya Nagar  Coimbatore Tamil Nadu-641 114    Tamil Nadu - 600028 ,http://www.karunya.edu,0422 - 2614300  91 422 2615615,ku@karunya.edu,Dr P.Mannar Jawahar ,0422-2614310,Dr. R.Elijah Blessing ,"0422-2614320,0422-2614321"
135,Karpagam Academy of Higher Education ,Pallachi Main Road  Coimbatore Eachanari Post  Tamil Nadu-641021    Tamil Nadu - 641021 ,http://www.kahedu.edu.in,"0422-2611146,2611082  0422-2611043",info@karpagamuniversity.ac.in,Dr.S.Sudalaimuthu,0422-2980019,Dr.R.Sundararajan,0422-2980020
136,Dr. M.G.R. Educational and Research Institute ,"Periyar E.V.R. High Road  Maduravoyal,Chennai-600095    Tamil Nadu -  ",http://www.drmgrdu.ac.in,91 - 044-23782176 / 23782186 / 23782085  91 - 044- 23783165,contact@drmgrdu.ac.in,Dr. P Aravindan (offs),044-23782176,Prof. Dr.C.B. Palanivelu,044-23782176
137,Meenakshi Academy of Higher Education and Research  ,No.12  vermbuliamman Kail St  K.K. Nagar(West) Chennai-600078 Tamil Nadu   Tamil Nadu -  ,http://www.maher.ac.in,(044) 23643955  23643956  (044) 23643958,info@maher.ac.in,Dr R S Neelakandan,"044-23643955,23643956",Dr A Nandkumar,"044-23643955,23643956"
138,Noorul Islam Centre for Higher Education ,"Kumaracoil,Thuckalay Kanyakumari  Tamil Nadu    Tamil Nadu -  ",http://www.niuniv.com,04651-251956  04651-257266,info@niceindia.com,Prof. (Dr.) S. SIVASUBRAMANIAN,04651-250467,Prof. Dr. K.SUBRAMANIAN,04651- 251766  04651-250566
139,Periyar Manaimmai Institute of Science & Technology (PMIST),Periyar Nagar  Vallam  Thanjavur     Tamil Nadu -  ,http://www.pmu.edu,91-4362-264600  91-4362-264660,pmu@pmu.edu,Prof.S.VELUSAMI,04362 – 264800,Prof.Dr.S.A.DHANARAJ,04362 – 264632
140,Ponnaiyan Ramajayam Institute of Science & technology (PMIST),Yagappa Chavadi   Thanjavur     Tamil Nadu -  ,http://www.prist.ac.in,(04362) 265021  265022  266940  266950  266960  04362-265150,contact@prist.ac.in,Dr. N.Ethirajalu,04362-265017,Dr. K.V.Balasubrmanian,04362-265018
141,Rajiv Gandhi National Institute of Youth Development,Sriperrumbudur     Tamil Nadu -  ,http://www.rgniyd.gov.in,(091)044 - 27162741  27162612  (091)044 - 27162705,app@rgniyd.gov.in/acadrgniyd@gamil.com,Shri P.Michael Vetha Siromon,044-27162705,Dr.D.Jayalakshmi,044-27163942
142,S.R.M Institute of Science and Technology,2  Veerasamy Street West Mambalam  Chennai   Tamil Nadu -  ,http://www.srmuniv.ac.in,044-27417777/27417000  ,,Prof. P. Sathyanarayan,044-27454255,Prof.N.Sethuraman,044-27454646
143,Sathyabama Institute of Science and Technology,Jeppiaar Nagar Rajiv Gandhi Salai Chennai   Tamil Nadu - 600119 ,http://www.sathyabamauniversity.ac.in,044 - 2450 3150 / 51   044 - 2450 3154/55,sathyabama@sathyabama.ac.in,Dr. S. SUNDAR MANOHARAN,044-24503737,Dr. S. S .RAU,044-24503243
144,Saveetha Institute of Medical and Technical Sciences                ,Post Box No. 6  No. 162    Poonamalle High Road  Velappanchavadi Chennai    Tamil Nadu -  ,http://www.saveetha.com,91 - 44 - 2680 1580 / 1581 / 1582 / 1583 / 1584 /  91 - 44 - 2680 0892,contact@saveetha.com,Dr.(Prof.) Rajesh Kumar Sharma,044-6726691,Dr. V Thiagarajan,044-6726692
145,Shanmugha Arts Science Technology & Research Academy (SASTRA) ,Tirumalai Samudram    Thanjavur    Tamil Nadu -  ,http://www.sastra.edu,91 4362 264101-108  304000-010.  91 4362 264120,registrar@sastra.edu,Prof. R. SETHURAMAN,04362-264213,Dr. S.N.Srivastava,04362-264101-108
146,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya ,Sri Jayendra Saraswathi Street Enathur  Kancheepuram    Tamil Nadu -  ,http://www.kanchiuniv.ac.in,(91) 44-27264293  27264308  27264301  (91) 44-27264285,,Prof.Dr.V.S.Vishnu Potty,044-27264408,Prof. Dr. G. Srinivasu,044-27264294
147,Sri Ramachandra Medical College and Research Institute ,1 Ramachandra Nagar  Chennai.    Tamil Nadu -  ,http://http://www.sriramachandra.edu.in,044-24765512  ,,Dr. J.S.N. Murthy,044-24768431,Shri N. Natarajan,044-24765512
148,St. Peter’s Institute of Higher Education and Research,Avadi  Chennai    Tamil Nadu - 600054 ,http://www.spiher.ac.in,044 - 26558080 - 85  ,spiher@stpetersuniversity.org,Dr Francis C Peter,044-26558080,Dr L Mahesh Kumar,044-26558080
149,VELS Institute of Science Technology & Advanced Studies (VISTAS) ,Velen Nagar  P. V. Vaithiyaligam Road  Pallavaram Chennai   Tamil Nadu - 600117 ,http://www.velsuniv.ac.in,91 - 44 - 2266 2500 / 2501 / 2502 / 2503  91 - 44 - 2266 2513,vistas@velsuniv.org,Dr.P.Swaminathan,044-22662504,Dr.A.R.Veeramani,044-22662502
150,Vellore Institute of Technology ,Vellore      Tamil Nadu -  ,http://www.vit.ac.in,"91-416-2243091 / 93  91-416-2243092,2240411",,Dr Anand A Samuel,0416-2202920  2249720,Dr K Sathiyanarayanan,0416-2202040
151,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology ,Chennai      Tamil Nadu -  ,http://www.veltechuniv.edu.in   www.vel-tech.org,"044-26841622,26840896,  2,435,759,124,348,250","eveltech@vsnl.com,",Dr. M. Koteeswaran,"044-26841622,26841601",Dr. E. Kannan,"044-26841622,26841601"
152,Vinayaka Mission’s Research Foundation ,Sankari Mani Road NH 47  Ariyanoor Salem    Tamil Nadu -  ,http://www.vinayakamission.com,"0427 - 247 7316 / 317 / 594 / 598
  0427 - 247 7903
",vmtrust@vmu.edu.in/vmtrust@gmail.com,Prof. dr. V.R.Rajendran,0427-3987000 Ext. 1105,Prof. Y. Abraham,0427-3987000(Ext.) 1106
153,Sam Higginbottom Institute of Agriculture  Technology & Sciences,Rewa Road  Naini Allahabad     Uttar Pradesh - 211 007 ,http://www.shiats.edu.in,91 532 2684281  91 532 2684394,,Prof. (Dr.) Rajendra B. Lal,0532-2684284  2684290,(Dr.) A. K. A. Lawrence,0532-2684781  2684281
154,Bhatkhande Music Institute ,1 'Kaiser Bagh  Lucknow     Uttar Pradesh -  ,http://www.bhatkhandemusic.edu.in,  ,info@bhatkhandemusic.edu.in,Prof. Shruti Sadolikar Katkar,0522-2622926,Smt. Neelam Ahlawat,
155,Central Institute of Higher Tibetan Studies ,Sarnath  Varanasi    Uttar Pradesh -  ,http://www.cihts.ac.in,091-542-2585242/2585148/2581737  0542-2585150,cihts@yahoo.com,Geshe Ngawang Samten,0091-542-2581737,Dr. Deo Raj Singh*,0091-542-2585148
156,Dayalbagh Educational Institute  ,Dayalbagh  Agra    Uttar Pradesh -  ,http://www.dei.ac.in,0562-2801545  6544855  0562-2801226(Fax),admin@dei.ac.in,Prof. Prem Kumar Kalra,0562-2801545,Prof Anand Mohan,0562-6544855
157,Indian Veterinary Research Institute ,Izatnagar U.P.    Uttar Pradesh -  ,http://www.ivri.nic.in,0581- 2300096  2301375  0581- 2303284  2302179,root@ivri.up.nic.in,Dr. M. C. Sharma,91-581-2300096,Shri N C Sudan,
158,Jaypee Institute of Information Technology ,A-10 Sector-62  Noida    Uttar Pradesh -  ,http://www.jiit.ac.in,0120-2400973  ,webadmin@jiit.ac.in,Prof. J. P. Gupta,0120-2400980,Col. Vijay Kumar (Retd)  S,0120-2400907
159,Nehru Gram Bharati ,Kotwa-Jamunipur  Dubawal  Prayagraj   Uttar Pradesh - 221505 ,http://www.ngbu.edu.in,7705988333  7705966333,info.ngbu@gmail.com,Prof. Paras Nath Pandey,,Mr. R.L. Vishwakarma,
160,Shobhit Institute of Engineering & Technology ,Dulhera Marg Roorkee Road  Meerut      Uttar Pradesh -  ,http://www.shobhituniversity.ac.in,91-121- 2575091 / 92  3264004  91-121- 2575724,mail@shobhituniversity.ac.in,Prof. (Dr.) Rajendra P. Agarwal,"0121-2578600,",Prof. (Dr.) Jayanand,0121-2575091/92
161,Santosh ,Santosh Nagar  Ghaziabad     Uttar Pradesh - 201009 ,https://santosh.ac.in/,"91-120-2741141-43,2741777  91-120-2741140",santosh@santoshdeemedtobeuniversity.com,Dr. Tripta S. Bhagat(Offficiating)),120-4933353/63/73,Dr V P Gupta,120-4933353/63/73
162,Forest Research Institute ,P.O. New Forest  Dehradun    Uttarakhand -  ,http://www.icfre.org,91- 135- 2758295  2759646  91- 135- 2750297,garbyalms@icfre.org   ddg_admin@icfre.org   cm_rb@,Dr. S.S. Negi,91 135-2755277,Sh. Piarchand,91 135-2752678
163,Gurukul Kangri vidyapeeth,Haridwar Uttrakhand.    Uttarakhand -  ,http://www.gkvharidwar.org,01334-249011  249012  249013  243090  01334-245265/246366/246811,registrargkv@yahoo.comg,Prof. Swantantra Kumar,1334-249000,Prof. A.K.Chopra,"1334-249011,249012,249013"
164,Graphic Era   ,Bell Road Clement Town  Dehradun Uttrakhand.    Uttarakhand -  ,http://www.ugc.ac.in,91-135-2643420  2642727  91-135-2644025,enquiry@geu.ac.in,Dr. D.P. Giridhar,"0135-2643420,21,22",Mr. S. C. Sharma,0135-2643420
165,Ramakrishna Mission Vivekananda Educational  and Research Institute,P.O. Belur Math Distt Howrah  West Bengal    West Bengal -  ,http://www.rkmvu.ac.in,  ,,Swami Atmapriyananda,,Swami Sarvotttamananda,
166,Assam Don Bosco University,Azara  Guwahati     Assam - 781 017 ,http://www.dbuniversity.ac.in,91-03842-270802  91-03842-270849  91 361 2841949,"contact@dbuniversity.ac.in,hr@dbuniversity.ac.in",Dr.(Fr.)Stephen Mavely,0361-2139291,Dr. Basil S. Koikara,0361-2139291
167,Dr. C.V. Raman University,Kargi Road  Kota Bilaspur    Chhattisgarh-  ,http://www.cvru.ac.in,"91-7753-253728  202582 253737,  91-7753-253728",cvruraipur@yahoo.co.in,Prof. R.P.Dubey,07753-253803,Shri Gaurav,07753-253802
168,MATS University ,Arang Kharora   District :  Raipur    Chhattisgarh-  ,http://www.matsuniversity.ac.in,91 771 4078995  4078996  91 771 4078997,info@matsuniversity.ac.in,Prof. (Dr.) Byju John,0771-4078995,Shri Gokul Nanda Panda,0771-4078995-Ext 411
169,Charotar University of Science & Technology,CHARUSAT Campus  At Changa  Taluka Petlad  District Anand   Gujarat - 388421 ,http://www.charusat.ac.in,02697-247 500  02697-247 100,info@ecchanga.ac.in,Dr.Pankaj S.Joshi,02697-265015,Dr.Devang R.Joshi,02697-247101
170,Calorx Teacher's University ,Greenwood  Nr  Vaishnodevi Circle Sardar patel Ring Road  Oganj PO. Chandlodia  Ahmedabad   Gujarat - 382481 ,http://www.ctu.org.in,02717-242328/29  ,registrar@ctu.org.in,Prof. Ramesh Amin,02717-242328/29,Mr Lalit Adhikari,02717-242328/29
171,Dhirubhai Ambani Institute of Information and Communication Technology ,Near Indroda Circle Gandhinagar     Gujarat - 382 007 ,http://www.daiict.ac.in,079-30520000  3052-0010  ,info@daiict.ac.in,Prof. S. C. Sahasrabudhe ,,Sh. Soman Nair,
172,Ganpat University ,Ganpat Vidyanagar  Mehsana Goazaria Highway District Mehsana   Gujarat - 382 711 ,http://www.ganpatuniversity.ac.in,2762-286080  286924-25  180023312345,info@ganpatuniversity.ac.in,Dr.M.S.Sharma (Director General),02762-286819,Dr.Amit Patel,02762-286080  286924-25
173,Kadi  Sarva Vishwavidyalaya, Sarva  Vidyalaya Campus Sector 15/23  Gandhinagar    Gujarat -  ,http://ksvuniversity.org.in,079-23222664  23241492  079-23244690,info@ksvuniversity.org.in ,Shri D.T. Kapadia,NULL,Prof. S.K. Mantrala,NULL
174,Nirma University,"Sarkhej,Gandhinagar Highway Village - Chharodi Ahmedabad   Gujarat -  ",http://www.nirmauni.ac.in,02717-241900 to 04  241911 to 15  02717-241916-17,asst_registrar@nirmauni.ac.in  webmaster@nirmauni.ac.in,Dr. Anup K. Singh,02717-241230,Sh. A. S. Patel,02717-241168
175,Pandit Deendayal petroleum University,At Raisan  Dist.Gandhinagar     Gujarat -  ,http://www.pdpu.ac.in,079-23275060  23275030  NULL,info@pdpu.ac.in,Dr. C. Gopalkrishnan (Director General),079-23275097,Prof. Tarun Shah,079-23275014
176,The Northcap University ,HUDA  Sector 23-A  Gurgaon      Haryana - 122 017 ,http://ncuindia.edu,0124-2365811 to 13  0124-2367488 ,ncu@ncuindia.edu,Prof. H B Raghavenra,01242-4195269,Col. Bikram Mohanty (Retd.),01242-4195240
177,O.P. Jindal Global University,Sonipat     Haryana -  ,http://www.jgls.org,91-130-3057804  91-130-3057808,admissions@jgu.edu.in,Prof.(Dr)C.Raj Kumar,0130-3057899,Prof. Y.S.R. Murhty,0130-3057881
178,Acharaya N.G.Ranga Agricultural University,Lam  Gantur     Andhra Pradesh- 522034 ,http://www.angrau.ac.in,24015161  24015163/24015011 to 24015017  ,"angrau@ap.nic.in,angrau_help@yahoo.com",Dr. V Damodara Naidu,0863-2347011,Dr D Bhaskara Rao,0863-2347101
179,Acharaya Nagarjuna University,Nagarjuna Nagar Guntur    Andhra Pradesh- 522 510  ,http://www.anu.ac.in,0863-22346114  0863-2293320 ,,Prof.K.Viyyanna Rao ,0863-2346182,Prof P.Rajasekhar,(O)0863-2346102  114 
180,Adikavi Nannaya University,"25-07-9/1,  Jayakrishnapuram Rajahmundry    Andhra Pradesh-  ",http://www.nannayauniversity.info/,8121692457/9440801165  ,,Prof P George Victor,,Prof.K. RAGHU BABU ,"0883-2472617 (O),0883- 2472616 (Direct)"
